variant,seed,success,selected_mode_switches,last_selected_mode,reached_goal,collision,final_dist,min_clearance_dynamic,path_length,control_effort,control_smoothness,steps,runtime_sec,runtime_per_step_sec,block_step
full_swarm_prior_mppi,2,True,0,,True,False,0.14361586486519745,0.2551254543971856,14.896142609866493,187.86099268957577,11.013520787496606,93,6.611981867998111,0.07109657922578613,150
gaussian_prior_mppi,2,True,0,,True,False,0.1448393182865519,0.2965105600360906,14.475271346987835,178.03231613183246,8.36884779183084,90,0.9056058320020384,0.01006228702224487,150
empirical_init_mppi,2,True,0,,True,False,0.1377465677972095,0.19558352549071956,13.893215655868708,181.46168137760984,3.724836681994626,79,5.211708099999669,0.06597098860759075,150
homotopy_seeded_mppi,2,True,0,,True,False,0.1330658331927019,0.2245787865133136,13.315781691269475,169.07542251488084,2.8501982584151437,77,5.080459138000151,0.06597998880519677,150
corridor_prior_mppi,2,True,0,,True,False,0.14086231748182879,0.11856130493835476,14.330162794090592,185.86013982481498,3.76997947719053,99,6.387014564999845,0.06451529863636207,150
frenet_corridor_mppi,2,True,0,,True,False,0.11203222565606408,0.2540223480967356,13.383241820687267,164.417282119496,3.37949494185331,83,5.29390260099899,0.06378195904818061,150
heatmap_prior_mppi,2,True,0,,True,False,0.0932078053263684,0.22540274557800816,13.348797201732548,169.1905282624184,2.925554353736568,78,4.884542753999995,0.06262234299999993,150
control_bank_mppi,2,True,0,,True,False,0.13774656783341066,0.19558352547614927,13.893215655869424,181.46168137789377,3.724836681723976,79,5.555668302000413,0.0703249152151951,150
mode_selecting_homotopy_mppi,2,True,28,0.0,True,False,0.08870920384402722,0.26502907383008467,13.557403890806091,176.59641850435972,4.991557758765838,80,2.005260776000796,0.02506575970000995,150
mode_selecting_corridor_mppi,2,True,27,2.0,True,False,0.13652706908265055,0.10649970997516395,12.883735104529354,159.39432015292184,5.946107950789162,81,2.0337979719988653,0.025108616938257597,150
standard_mppi,2,True,0,,True,False,0.09229614606898762,0.16732621170910228,12.549291468089091,160.8891412685528,2.031091215620206,70,0.4544045789989468,0.00649149398569924,150
standard_mpc,2,False,0,,False,False,9.43514046017348,0.828841143029297,2.2392786509623073,25.47335919257216,0.6360563421887888,130,0.8909139700008382,0.006853184384621832,150
homotopy_mean_mpc,2,False,0,,False,False,0.45190646878434915,0.18139766568060217,12.234914493090006,156.09916342270083,7.0033698094922645,130,1.3574038740007381,0.010441568261544139,150
