condition,variant,metric,source_column,mean,std,n,sample_scope
dynamic_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,control_bank_mppi,control_effort,control_effort,229.2495774663256,,1,successful trials only
no_wall,control_bank_mppi,steps,steps,51.0,,1,successful trials only
no_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0053013351764592,,1,all trials with valid values
no_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3965222803552996,,1,successful trials only
no_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,corridor_prior_mppi,control_effort,control_effort,164.92099033482987,,1,successful trials only
no_wall,corridor_prior_mppi,steps,steps,76.0,,1,successful trials only
no_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0032305741973639,,1,all trials with valid values
no_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.27080046645702105,,1,successful trials only
no_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,frenet_corridor_mppi,control_effort,control_effort,155.22595153107812,,1,successful trials only
no_wall,frenet_corridor_mppi,steps,steps,81.0,,1,successful trials only
no_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0057683705185079,,1,all trials with valid values
no_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.2269149112355921,,1,successful trials only
no_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,full_swarm_prior_mppi,control_effort,control_effort,146.9553618107008,,1,successful trials only
no_wall,full_swarm_prior_mppi,steps,steps,84.0,,1,successful trials only
no_wall,full_swarm_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.012994145166669,,1,all trials with valid values
no_wall,full_swarm_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.24357840525495386,,1,successful trials only
no_wall,full_swarm_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,gaussian_prior_mppi,control_effort,control_effort,146.9553618107008,,1,successful trials only
no_wall,gaussian_prior_mppi,steps,steps,84.0,,1,successful trials only
no_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0030475886547676,,1,all trials with valid values
no_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.24357840525495386,,1,successful trials only
no_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,heatmap_prior_mppi,control_effort,control_effort,164.92099033482987,,1,successful trials only
no_wall,heatmap_prior_mppi,steps,steps,76.0,,1,successful trials only
no_wall,heatmap_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0032398838684218,,1,all trials with valid values
no_wall,heatmap_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.27080046645702105,,1,successful trials only
no_wall,heatmap_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,mode_selecting_corridor_mppi,control_effort,control_effort,208.35753162213277,,1,successful trials only
no_wall,mode_selecting_corridor_mppi,steps,steps,58.0,,1,successful trials only
no_wall,mode_selecting_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.003442636000006,,1,all trials with valid values
no_wall,mode_selecting_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3878056345368148,,1,successful trials only
no_wall,mode_selecting_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,mode_selecting_homotopy_mppi,control_effort,control_effort,208.35753162213277,,1,successful trials only
no_wall,mode_selecting_homotopy_mppi,steps,steps,58.0,,1,successful trials only
no_wall,mode_selecting_homotopy_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0033880879655043,,1,all trials with valid values
no_wall,mode_selecting_homotopy_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3878056345368148,,1,successful trials only
no_wall,mode_selecting_homotopy_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
no_wall,standard_mppi,control_effort,control_effort,,,0,successful trials only
no_wall,standard_mppi,steps,steps,,,0,successful trials only
no_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0006226370000009,,1,all trials with valid values
no_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,,,0,successful trials only
no_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
static_wall,control_bank_mppi,control_effort,control_effort,239.26647714376753,23.686672630757332,4,successful trials only
static_wall,control_bank_mppi,steps,steps,54.5,3.3166247903554,4,successful trials only
static_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0074536411054359,0.002271206854453348,4,all trials with valid values
static_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.33756616768807424,0.06199956685013574,4,successful trials only
static_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.33756616768807424,0.06199956685013574,4,successful trials only
static_wall,corridor_prior_mppi,control_effort,control_effort,193.26669190987772,26.76804117949503,4,successful trials only
static_wall,corridor_prior_mppi,steps,steps,99.0,13.784048752090222,4,successful trials only
static_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.01020950883562515,0.004166732858590801,4,all trials with valid values
static_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.3127321394324882,0.04341358682155731,4,successful trials only
static_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.3127321394324882,0.04341358682155731,4,successful trials only
static_wall,frenet_corridor_mppi,control_effort,control_effort,175.8476814052032,16.454540461823473,3,successful trials only
static_wall,frenet_corridor_mppi,steps,steps,93.0,5.5677643628300215,3,successful trials only
static_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.012059092634772775,0.004979062414473055,4,all trials with valid values
