condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,selected_mode_switches,last_selected_mode,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,13,0.2604908986873564,progress,0.7940446509693251,13,True,,True,False,False,,False,True,False,45,7,0.25208445179291383,0.18213418354558553,0.18213418354558553,12.562719638397425,9.592552307914954,157.4050445705231,109.07543929334408,23.965761499487655,21.355758639734326,86,73,1.081603090999124,0.012576780127896791,0.3,
dynamic_wall,heatmap_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,13,0.25823043618536257,progress,0.7830066774177531,13,True,,True,False,False,,False,True,False,33,4,0.29687629884670114,0.11744940869354165,0.11744940869354165,13.095299787995867,10.152695306947294,188.04254555013483,141.1256096339582,25.812644385539524,24.360109034670074,88,75,0.9088107509996917,0.010327394897723769,0.3,
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,12,0.2450229926515935,clearance_preview,0.6215517466424776,12,True,,True,False,False,,False,True,False,0,,0.27771889859306337,0.07253919288620986,0.07253919288620986,14.886237685134645,11.98179046627349,297.12962359189163,244.29731081625204,15.637445895008163,11.056692818868978,59,47,0.3769590740012063,0.006389136847478073,0.3,
dynamic_wall,mode_selecting_homotopy_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,13,0.27165281233976857,progress,0.7676380172787303,13,False,not_reaching,False,False,True,,False,True,False,45,4,5.296207513139998,0.0564578334674512,0.0564578334674512,11.027366952511917,7.9296670645318015,187.43077544959448,134.23560374905696,39.652617447410876,37.49839734747675,130,117,1.7535880249997717,0.013489138653844398,0.3,
dynamic_wall,mode_selecting_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,13,0.27165281233976857,progress,0.7676380172787303,13,False,not_reaching,False,False,True,,False,True,False,45,4,5.296207513139998,0.0564578334674512,0.0564578334674512,11.027366952511917,7.9296670645318015,187.43077544959448,134.23560374905696,39.652617447410876,37.49839734747675,130,117,1.7587579480004933,0.013528907292311487,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,0.25,0.75,8,0.20399277665991203,clearance_preview,0.7432455786222878,8,False,not_reaching,False,False,True,,False,True,False,0,,6.726140519555919,0.02154548232337905,0.02154548232337905,4.881183799582979,2.488809118383991,106.52763952739534,53.959811594182824,48.73290515994569,44.86361905508166,130,122,0.33289225500084285,0.0025607096538526374,0.3,
static_wall,full_swarm_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,41,5,0.29876385964672814,0.1445717473233325,0.1445717473233325,14.35494817374022,14.35494817374022,200.04832228833934,200.04832228833934,24.962756198639763,24.962756198639763,101,101,1.0224692600004346,0.010123458019806283,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,41,5,0.29876385964672814,0.1445717473233325,0.1445717473233325,14.35494817374022,14.35494817374022,200.04832228833934,200.04832228833934,24.962756198639763,24.962756198639763,101,101,1.0155976690002717,0.010055422465349224,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,25,0,0.2655296494511356,0.20321092802955837,0.20321092802955837,12.812652639151718,12.812652639151718,166.9626123917726,166.9626123917726,27.925103849995253,27.925103849995253,85,85,0.8454061510001338,0.009945954717648633,0.3,
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,36,4,0.2659061079560204,0.20355461094615634,0.20355461094615634,13.596692129243335,13.596692129243335,194.74313021465366,194.74313021465366,31.66669306127446,31.66669306127446,99,99,1.2272445150010753,0.012396409242435104,0.3,
