condition,variant,swarm_seed,controller_seed,seed,obstacle_layout_seed,obstacle_center_permutation,scenario_id,wall_pairs,wall_count,wall_width,wall_extension,trigger_progress,activation_preview_clearance,activation_step,activation_progress,activation_reason,activation_clearance,block_step,success,failure_reason,reached_goal,collision,not_reaching,first_collision_step,collision_after_block,exposed_to_blocker,goal_reached_before_block,final_dist,min_clearance_dynamic,min_clearance_after_block,path_length,path_length_after_block,control_effort,control_effort_after_block,control_smoothness,control_smoothness_after_block,steps,steps_after_block,runtime_sec,runtime_per_step_sec,goal_tolerance,error
static_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2829265888642625,0.16374821926800098,0.16374821926800098,12.397782629173157,12.397782629173157,117.03541965393096,117.03541965393096,32.30285203096001,32.30285203096001,51,51,0.3950977489876095,0.007747014686031559,0.3,
static_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2732765615346224,0.13594401798241018,0.13594401798241018,12.421651616325905,12.421651616325905,110.06718408509964,110.06718408509964,40.91664229398524,40.91664229398524,49,49,0.3647340569877997,0.007443552183424484,0.3,
static_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_1,0-1,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2716646406417598,0.13330762129259116,0.13330762129259116,12.696662227018058,12.696662227018058,162.24402658248707,162.24402658248707,41.2874668326373,41.2874668326373,49,49,0.17369703398435377,0.0035448374282521177,0.3,
dynamic_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,18,0.25544215783379043,progress_and_clearance,0.602967212401823,18,False,collision,True,True,False,20,True,True,False,0.28229399334524424,-0.3781690387771071,-0.3781690387771071,13.292117163776101,10.343186595287033,182.06767687083655,142.53859685284866,71.46207970699983,60.83857319304352,64,46,0.45419006200972944,0.007096719718902023,0.3,
dynamic_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,20,0.25476518327105435,progress_and_clearance,0.6659732045417968,20,False,collision,True,True,False,23,True,True,False,0.2794433344793691,-0.3694363356884848,-0.3694363356884848,13.48332579847092,10.514939441166119,151.91591502417972,110.33104669345944,98.40783892926274,69.50418170368651,63,43,0.2913456060050521,0.00462453342865162,0.3,
dynamic_wall,frenet_corridor_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,18,0.2553429659888803,progress_and_clearance,0.5923475787091188,18,False,collision,True,True,False,20,True,True,False,0.3020228860356016,-0.3795004658888326,-0.3795004658888326,13.128700470445088,10.18690997947794,175.66154542905915,136.54264913097447,69.07147176302146,58.19739708549338,63,45,0.407797956984723,0.006472983444201952,0.3,
dynamic_wall,control_bank_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,17,0.25790318260515255,progress_and_clearance,0.7082892072640259,17,False,collision,True,True,False,21,True,True,False,0.21996556686918767,-0.06848018363972908,-0.06848018363972908,18.655284367960526,15.669967693645475,273.2942500022728,228.98090516097466,127.95371747159928,96.9364125321512,97,80,0.6110001360066235,0.006298970474295088,0.3,
dynamic_wall,standard_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,0.25,0.75,14,0.25716719233896196,progress_and_clearance,0.584015209541044,14,False,collision,True,True,False,18,True,True,False,0.28643654689236736,-0.1109836646426186,-0.1109836646426186,19.435981377462788,16.50159530442654,237.48555348545358,183.94510810426013,113.9035916652203,108.03339581500246,141,127,0.42819169600261375,0.0030368205390256297,0.3,
static_wall,gaussian_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.28154954268408294,0.03032891563778256,0.03032891563778256,12.74630730122567,12.74630730122567,186.00998469822397,186.00998469822397,66.76777755990933,66.76777755990933,59,59,0.47645305198966525,0.008075475457451953,0.3,
static_wall,corridor_prior_mppi,5,0,0,0,0->1;1->4;2->6;3->0;4->2;5->3;6->5,wall_0_2,0-2,1,0.4,0.2,,0.75,0,0.0,from_start,,0,True,,True,False,False,,False,True,False,0.2525431605221051,0.14042342222564425,0.14042342222564425,17.675429783410078,17.675429783410078,152.35013339231702,152.35013339231702,58.01152808906488,58.01152808906488,73,73,0.3632080780225806,0.004975453123596994,0.3,
