condition,variant,metric,source_column,mean,std,n,sample_scope
no_wall,standard_mppi,steps,steps,47.48571428571429,8.297311501399745,35,successful trials only
no_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.0013904263548692685,7.830805290558441e-05,35,successful trials only
no_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6650908973567186,0.3217300524144579,35,successful trials only
no_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,,,0,successful trials only
static_wall,control_bank_mppi,control_effort,control_effort,91.28262346144663,25.463926573264747,392,successful trials only
static_wall,control_bank_mppi,steps,steps,57.798469387755105,6.972558392818233,392,successful trials only
static_wall,control_bank_mppi,runtime_per_step_sec,runtime_per_step_sec,0.007065328710130447,0.001265944713600452,392,successful trials only
static_wall,control_bank_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6571638545441595,0.2865706691893753,392,successful trials only
static_wall,control_bank_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6571638545441595,0.2865706691893753,392,successful trials only
static_wall,corridor_prior_mppi,control_effort,control_effort,97.60302093713737,26.229983154897234,388,successful trials only
static_wall,corridor_prior_mppi,steps,steps,58.81701030927835,10.072605637088493,388,successful trials only
static_wall,corridor_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.005568747144997916,0.0010897206164907174,388,successful trials only
static_wall,corridor_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6985510506188645,0.23692484512741288,388,successful trials only
static_wall,corridor_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6985510506188645,0.23692484512741288,388,successful trials only
static_wall,frenet_corridor_mppi,control_effort,control_effort,93.6592696660217,28.0525517113616,394,successful trials only
static_wall,frenet_corridor_mppi,steps,steps,59.7258883248731,7.726626238253335,394,successful trials only
static_wall,frenet_corridor_mppi,runtime_per_step_sec,runtime_per_step_sec,0.007432680681469738,0.0011956725192687186,394,successful trials only
static_wall,frenet_corridor_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.47572263606364235,0.22609412867006237,394,successful trials only
static_wall,frenet_corridor_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.47572263606364235,0.22609412867006237,394,successful trials only
static_wall,gaussian_prior_mppi,control_effort,control_effort,92.16278808332466,27.178947385408296,382,successful trials only
static_wall,gaussian_prior_mppi,steps,steps,59.68324607329843,7.878118934065987,382,successful trials only
static_wall,gaussian_prior_mppi,runtime_per_step_sec,runtime_per_step_sec,0.00799608219789487,0.0012891091914745475,382,successful trials only
static_wall,gaussian_prior_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.45316242466665974,0.21462166968972676,382,successful trials only
static_wall,gaussian_prior_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.45316242466665974,0.21462166968972676,382,successful trials only
static_wall,standard_mppi,control_effort,control_effort,110.94418564321481,37.634736406655804,58,successful trials only
static_wall,standard_mppi,steps,steps,51.241379310344826,14.452961021003697,58,successful trials only
static_wall,standard_mppi,runtime_per_step_sec,runtime_per_step_sec,0.003553746057272376,0.0005036340774958921,58,successful trials only
static_wall,standard_mppi,control_smoothness_overall,_derived_control_smoothness_overall_per_transition,0.6724928420024329,0.2673439164863187,58,successful trials only
static_wall,standard_mppi,control_smoothness_after,_derived_control_smoothness_after_per_transition,0.6724928420024329,0.2673439164863187,58,successful trials only
