variant,seed,success,selected_mode_switches,last_selected_mode,reached_goal,collision,final_dist,min_clearance_dynamic,path_length,control_effort,control_smoothness,steps,runtime_sec,runtime_per_step_sec,block_step
full_swarm_prior_mppi,2,False,0,,False,False,1.7716911336085168,0.20597405607475583,19.2307430661661,255.64098646288568,132.14447790770214,130,102.72062063599878,0.7901586202769137,25
gaussian_prior_mppi,2,False,0,,False,False,1.9575283974534614,0.19693113971244852,18.833774591775928,239.92770941678498,104.83412812260298,130,94.90848961498705,0.7300653047306696,25
empirical_init_mppi,2,True,0,,True,False,0.10153617745136546,0.1845130636213141,17.550328126179334,250.51117724461292,50.17060773392677,101,75.0301807569922,0.742873076801903,25
homotopy_seeded_mppi,2,False,0,,False,False,1.0667076384746557,0.20167303056914587,19.549039596968115,256.41724141656607,105.91529524628494,130,100.84298660900095,0.7757152816076995,25
corridor_prior_mppi,2,True,0,,True,False,0.11337304706015953,0.14263809330326244,17.496712178330633,236.43221636843566,121.73207289236602,121,88.1702696519933,0.7286799144792834,25
frenet_corridor_mppi,2,True,0,,True,False,0.14269083597435375,0.07225279143024177,15.484004372503806,235.2304453280284,118.838800228847,103,71.31407138799841,0.6923696251261982,25
heatmap_prior_mppi,2,False,0,,False,False,1.215622620391747,0.20167303056914587,19.367987550434478,254.32890320380884,109.04911788044782,130,100.27725495600316,0.7713634996615628,25
control_bank_mppi,2,True,0,,True,False,0.10153617745136546,0.1845130636213141,17.550328126179334,250.51117724461292,50.17060773392677,101,75.64595178801392,0.7489698196833061,25
mode_selecting_homotopy_mppi,2,True,26,1.0,True,False,0.062399532310054066,0.022231591178788562,17.694867501323195,258.22107870286544,57.486922816847034,102,70.31148758198833,0.6893283096273366,25
mode_selecting_corridor_mppi,2,True,25,2.0,True,False,0.07837179770784376,0.15518856894511424,16.853591235300446,251.88121235104364,112.42490127368048,105,70.35592029801046,0.6700563837905759,25
standard_mppi,2,False,0,,False,False,6.796805763899434,0.1967191289238288,4.6750348194123355,61.28384847135013,6.08644499669348,130,97.27415939999628,0.748262764615356,25
