condition,scenario_id,variant,trials,successes,success_rate,collision_rate,not_reaching_rate,exposed_rate,mean_activation_step,mean_activation_progress,mean_min_clearance_after_block,mean_final_dist
dynamic_wall,walls_0_1__1_2,standard_mppi,100,0,0.0,0.0,1.0,0.8,10.275,0.24667925337640834,0.06048313300623873,6.890631810247721
dynamic_wall,walls_0_1__1_2,standard_mppi_128_rollouts,100,1,0.01,0.0,0.99,0.81,9.17283950617284,0.24514919489409398,0.05904320884996661,6.709340065782443
no_wall,no_wall,control_bank_mppi,100,100,1.0,0.0,0.0,0.0,,,,0.26771033264446176
no_wall,no_wall,corridor_prior_mppi,100,98,0.98,0.0,0.02,0.0,,,,0.43253245900665727
no_wall,no_wall,frenet_corridor_mppi,100,98,0.98,0.0,0.02,0.0,,,,0.41149225577868515
no_wall,no_wall,full_swarm_prior_mppi,100,100,1.0,0.0,0.0,0.0,,,,0.26958351994144036
no_wall,no_wall,gaussian_prior_mppi,100,99,0.99,0.0,0.01,0.0,,,,0.3283255736424053
no_wall,no_wall,mode_selecting_corridor_mppi,100,100,1.0,0.0,0.0,0.0,,,,0.27419834545104105
no_wall,no_wall,mode_selecting_gaussian_mppi,100,99,0.99,0.0,0.01,0.0,,,,0.3461675682114194
no_wall,no_wall,standard_mppi,100,39,0.39,0.0,0.61,0.0,,,,4.890316428484905
no_wall,no_wall,standard_mppi_128_rollouts,100,54,0.54,0.0,0.46,0.0,,,,4.01415667747148
static_wall,wall_0_1,control_bank_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.16745774142870637,0.46078014607733037
static_wall,wall_0_1,corridor_prior_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.10507238637412383,0.5163755460162561
static_wall,wall_0_1,frenet_corridor_mppi,100,99,0.99,0.0,0.01,1.0,0.0,0.0,0.14404385479771808,0.3357381248606931
static_wall,wall_0_1,full_swarm_prior_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.17019687428019392,0.27058603393655206
static_wall,wall_0_1,gaussian_prior_mppi,100,97,0.97,0.0,0.03,1.0,0.0,0.0,0.13957307896735313,0.45448175298497145
static_wall,wall_0_1,mode_selecting_corridor_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.10148690820685598,0.2714182653332159
static_wall,wall_0_1,mode_selecting_gaussian_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.14863981250772526,0.27318901645265015
static_wall,wall_0_1,standard_mppi,100,32,0.32,0.0,0.68,1.0,0.0,0.0,0.11387744957140403,5.466262575799492
static_wall,wall_0_1,standard_mppi_128_rollouts,100,41,0.41,0.01,0.58,1.0,0.0,0.0,0.1072536866230484,5.103140921812087
static_wall,wall_0_2,control_bank_mppi,100,100,1.0,0.0,0.0,1.0,0.0,0.0,0.15536466396774665,0.27440965426280767
static_wall,wall_0_2,corridor_prior_mppi,100,96,0.96,0.0,0.04,1.0,0.0,0.0,0.11165546280414075,0.6031842141862058
